no,title,assignees,milestone,labels,state,user,created_at,closed_at,closed_by,updated_at,due_on,actual_man_hour,estimated_man_hour,project,project_status
1,PRのテンプレートやおおまかなディレクトリを作成,,,,closed,ma3-ndbox,2020-03-11 18:12:35,2020-03-11 18:13:27,ma3-ndbox,2020-03-11 18:13:27,,,,,
2,このリポジトリの更新状況をSlackへ通知させる,rothr4,フェーズ0(開発準備)-1,実工数: 0.25h(15min),closed,ma3-ndbox,2020-03-11 18:15:02,2020-03-12 16:01:35,rothr4,2020-03-17 19:26:46,2020-04-05 07:00:00,0.25,,tasks,完了
3,要件定義のテンプレート作成,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.5h(30min),closed,ma3-ndbox,2020-03-11 18:15:45,2020-03-14 16:15:43,ma3-ndbox,2020-03-17 19:09:43,2020-04-05 07:00:00,0.5,,tasks,完了
4,要件定義テンプレートのレビュー会(ゲスト),rothr4;hizakozo;ma3-ndbox,フェーズ0(開発準備)-1,実工数: 1h,closed,ma3-ndbox,2020-03-11 18:17:29,2020-03-16 11:43:23,ma3-ndbox,2020-03-17 19:07:24,2020-04-05 07:00:00,1.0,,tasks,完了
5,要件定義テンプレートのレビュー会(内部メンバー),rothr4;hizakozo;ma3-ndbox,フェーズ0(開発準備)-1,実工数: 1h,closed,ma3-ndbox,2020-03-11 18:17:36,2020-03-14 13:54:03,rothr4,2020-03-17 19:09:53,2020-04-05 07:00:00,1.0,,tasks,完了
6,localstackのdocker-compose化,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 1h,closed,ma3-ndbox,2020-03-11 18:18:50,2020-03-17 19:30:24,ma3-ndbox,2020-03-17 19:30:40,2020-04-05 07:00:00,1.0,,tasks,完了
7,localstack上でクラウドフロントを動かしたい件を調査,rothr4,フェーズ0(開発準備)-1,実工数: 3h,closed,ma3-ndbox,2020-03-11 18:21:36,2020-03-13 17:05:47,rothr4,2020-03-17 19:27:24,2020-04-05 07:00:00,3.0,,tasks,完了
8,必要であろうデータの洗い出しとデータ設計,hizakozo,フェーズ0(開発準備)-2,見積工数: 4h,open,ma3-ndbox,2020-03-11 18:23:27,,,2020-03-17 19:19:49,2020-04-26 07:00:00,,4.0,tasks,次のマイルストーン
9,DynamoDBとMySQLの違いを調査,hizakozo,フェーズ0(開発準備)-1,見積工数: 3h,open,ma3-ndbox,2020-03-11 18:27:16,,,2020-03-17 19:14:53,2020-04-05 07:00:00,,3.0,tasks,直近のマイルストーン
10,apiコードのベース作成,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.5h(30min),closed,ma3-ndbox,2020-03-11 18:35:38,2020-03-14 18:43:34,ma3-ndbox,2020-03-17 19:09:32,2020-04-05 07:00:00,0.5,,tasks,完了
11,frontコードのベース作成,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.5h(30min),closed,ma3-ndbox,2020-03-11 18:35:43,2020-03-14 20:42:23,ma3-ndbox,2020-03-17 19:09:24,2020-04-05 07:00:00,0.5,,tasks,完了
12,DBマイグレーションの仕組みを調査,hizakozo,フェーズ0(開発準備)-2,実工数: 3h,open,ma3-ndbox,2020-03-11 18:47:40,,,2020-03-17 19:24:14,2020-04-26 07:00:00,3.0,,tasks,次のマイルストーン
13,超シンプルなクラウドフロントのYaml作成,rothr4,フェーズ0(開発準備)-1,実工数: 3h,closed,ma3-ndbox,2020-03-11 18:57:29,2020-03-13 17:09:40,rothr4,2020-03-17 19:27:39,2020-04-05 07:00:00,3.0,,tasks,完了
14,あれ、github actionsって組織アカウントでも無料で使えるんだっけ?を調査,rothr4,フェーズ0(開発準備)-1,実工数: 0.25h(15min),closed,ma3-ndbox,2020-03-11 19:04:00,2020-03-12 16:17:01,rothr4,2020-03-17 19:26:53,2020-04-05 07:00:00,0.25,,tasks,完了
15,localstack上での構成管理ロジックをgithub actionsに仕込む,rothr4,,見積工数: 3h,open,ma3-ndbox,2020-03-11 19:04:08,,,2020-03-17 20:05:59,,,3.0,tasks,タスクプール
16,マイグレーションをgithub actionsに仕込む,hizakozo,,,open,ma3-ndbox,2020-03-11 19:04:34,,,2020-03-11 19:04:46,,,,tasks,タスクプール
17,github actionsのベースを作成,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 1h,closed,ma3-ndbox,2020-03-11 19:05:49,2020-03-11 22:41:54,ma3-ndbox,2020-03-17 19:10:17,2020-04-05 07:00:00,1.0,,tasks,完了
18,ユーザ管理はcognitoでやりたい件を調査,ma3-ndbox,,見積工数: 3h,open,ma3-ndbox,2020-03-11 19:11:01,,,2020-03-17 20:02:31,,,3.0,tasks,タスクプール
19,ラムダが吐いたコンソールログをインフラ的にどこかのS3によしなに置けないかを調査,rothr4,,見積工数: 4h,open,ma3-ndbox,2020-03-11 19:15:29,,,2020-03-17 20:05:09,,,4.0,tasks,タスクプール
20,apiのエラー定義をよしなに使いやすそうな設計にする,ma3-ndbox,,見積工数: 3h,open,ma3-ndbox,2020-03-11 19:19:32,,,2020-03-17 20:03:17,,,3.0,tasks,タスクプール
21,apiとfrontのリクエストレスポンスの型をよしなに共通化する,ma3-ndbox,,,open,ma3-ndbox,2020-03-11 19:20:06,,,2020-03-11 19:26:07,,,,tasks,タスクプール
22,frontのサンプル画面の作成,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.5h(30min),closed,ma3-ndbox,2020-03-11 19:21:46,2020-03-14 22:13:19,ma3-ndbox,2020-03-17 19:08:58,2020-04-05 07:00:00,0.5,,tasks,完了
23,apiのサンプルエンドポイント作成,ma3-ndbox,フェーズ0(開発準備)-1,見積工数: 1h,closed,ma3-ndbox,2020-03-11 19:21:52,2020-03-14 22:15:32,ma3-ndbox,2020-03-17 19:08:49,2020-04-05 07:00:00,,1.0,tasks,完了
24,frontのlint設定,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0h,closed,ma3-ndbox,2020-03-11 19:21:58,2020-03-14 22:14:16,ma3-ndbox,2020-03-17 19:04:56,2020-04-05 07:00:00,0.0,,tasks,オミット
25,apiのlint設定,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0h,closed,ma3-ndbox,2020-03-11 19:22:07,2020-03-14 22:16:16,ma3-ndbox,2020-03-17 19:04:51,2020-04-05 07:00:00,0.0,,tasks,オミット
26,負荷試験ツールの調査,rothr4,,見積工数: 4h,open,ma3-ndbox,2020-03-11 19:23:40,,,2020-03-17 20:05:43,,,4.0,tasks,タスクプール
27,"github actionsで各lint, 各Buildが通らないとマージボタンを押せない仕組み",rothr4,,見積工数: 4h,open,ma3-ndbox,2020-03-11 19:24:36,,,2020-03-17 20:05:23,,,4.0,tasks,タスクプール
28,言語方針について相談する,ma3-ndbox,,,closed,ma3-ndbox,2020-03-11 19:30:50,2020-03-14 01:06:31,ma3-ndbox,2020-03-14 01:06:31,,,,meeting,完了
29,フロントの読み込みスピード調査ツールを調査する,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 1h,closed,ma3-ndbox,2020-03-11 19:34:53,2020-03-14 23:14:21,ma3-ndbox,2020-03-17 19:08:11,2020-04-05 07:00:00,1.0,,tasks,完了
30,フロントの読み込みスピード解析ツールをCIに組み込む,ma3-ndbox,,見積工数: 1h,open,ma3-ndbox,2020-03-11 19:37:51,,,2020-03-17 20:00:58,,,1.0,tasks,タスクプール
31,ダミーデータをDBに打ち込む一撃コマンドorスクリプトの作成,hizakozo,,,open,ma3-ndbox,2020-03-11 19:38:03,,,2020-03-11 19:38:23,,,,tasks,タスクプール
32,ダミーデータを作成する一撃コマンドをCIに組み込む,hizakozo,,,open,ma3-ndbox,2020-03-11 19:38:10,,,2020-03-11 19:38:18,,,,tasks,タスクプール
33,"api, frontで共通で使えそうなバリデーションの仕組みを作成",ma3-ndbox,,見積工数: 1.5h,open,ma3-ndbox,2020-03-11 19:41:30,,,2020-03-17 19:50:05,,,1.5,tasks,タスクプール
34,front側の単体テストの作成,ma3-ndbox,,実工数: 1.5h,open,ma3-ndbox,2020-03-11 19:41:36,,,2020-03-17 19:51:11,,1.5,,tasks,タスクプール
35,api側の単体テストの雛形を作成,ma3-ndbox,,実工数: 1h,closed,ma3-ndbox,2020-03-11 19:41:44,2020-03-17 19:51:32,ma3-ndbox,2020-03-17 19:51:32,,1.0,,tasks,完了
36,e2eテストツールをCIに組み込む(できるかなぁ),ma3-ndbox,,見積工数: 2h,open,ma3-ndbox,2020-03-11 19:41:53,,,2020-03-17 19:56:29,,,2.0,tasks,保留
37,e2eテストツールの調査,ma3-ndbox,,実工数: 1h,closed,ma3-ndbox,2020-03-11 19:42:00,2020-03-17 19:58:31,ma3-ndbox,2020-03-17 19:58:31,,1.0,,tasks,完了
38,aws-cliラッパーコマンドの作成,rothr4;ma3-ndbox,,見積工数: 1h,open,ma3-ndbox,2020-03-11 19:52:10,,,2020-03-17 19:18:21,,,1.0,tasks,保留
39,要件定義テンプレートをアップデートと追記,rothr4,フェーズ0(開発準備)-1,実工数: 1h,closed,ma3-ndbox,2020-03-11 19:54:54,2020-03-17 19:41:40,rothr4,2020-03-17 19:41:40,2020-04-05 07:00:00,1.0,,tasks,完了
40,awsの登録とユーザ作成,ma3-ndbox,,見積工数: 0.5h(30min),open,ma3-ndbox,2020-03-11 19:57:17,,,2020-03-17 19:15:56,,,0.5,tasks,直近のマイルストーン
41,aws secret manager の調査,rothr4,,見積工数: 1h,open,ma3-ndbox,2020-03-11 20:00:14,,,2020-03-17 19:49:53,,,1.0,tasks,タスクプール
42,クラウドフォーメーションYamlから費用を算出するロジックをCIに組み込む,rothr4,フェーズ0(開発準備)-1,見積工数: 2h,open,ma3-ndbox,2020-03-11 20:04:24,,,2020-03-17 19:33:32,2020-04-05 07:00:00,,2.0,tasks,進行中
43,クラウドフロントのYamlから費用を概算する方法を調査,rothr4,フェーズ0(開発準備)-1,実工数: 2h,closed,ma3-ndbox,2020-03-11 20:04:31,2020-03-17 19:40:03,rothr4,2020-03-17 19:40:03,2020-04-05 07:00:00,2.0,,tasks,完了
44,契約資料周りの整備,rothr4,フェーズ0(開発準備)-1,実工数: 8h,closed,ma3-ndbox,2020-03-11 20:31:17,2020-03-17 19:42:43,rothr4,2020-03-17 19:42:43,2020-04-05 07:00:00,8.0,,tasks,完了
45,wiki用のREADMEを作る,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.25h(15min),closed,ma3-ndbox,2020-03-11 20:37:39,2020-03-11 22:42:30,ma3-ndbox,2020-03-17 19:10:26,2020-04-05 07:00:00,0.25,,tasks,完了
46,github actionsのベース作成,,,,closed,ma3-ndbox,2020-03-11 22:03:02,2020-03-11 22:17:43,ma3-ndbox,2020-03-11 22:17:43,,,,,
47,kocalstackを起動した状態でaws-cliを叩けることを確認,rothr4,フェーズ0(開発準備)-1,実工数: 1h,closed,ma3-ndbox,2020-03-11 22:34:30,2020-03-13 16:42:05,rothr4,2020-03-17 19:27:11,2020-04-05 07:00:00,1.0,,tasks,完了
48,localstackのベースとなるdocker-composeを作成,,,,closed,ma3-ndbox,2020-03-11 22:36:11,2020-03-11 22:36:36,ma3-ndbox,2020-03-11 22:36:36,,,,,
49,localstackのベース作成(とりあえずの起動できるところまで),ma3-ndbox,フェーズ0(開発準備)-1,実工数: 1h,closed,ma3-ndbox,2020-03-11 22:43:21,2020-03-11 22:43:24,ma3-ndbox,2020-03-17 19:10:08,2020-04-05 07:00:00,1.0,,tasks,完了
50,Test,,,,closed,ma3-ndbox,2020-03-12 03:02:05,2020-03-12 03:21:07,ma3-ndbox,2020-03-12 03:21:07,,,,,
51,Test (1),,,,closed,ma3-ndbox,2020-03-12 03:04:04,2020-03-12 03:04:22,ma3-ndbox,2020-03-12 03:04:22,,,,,
52,localstackのDynamoDBにaws-cliで接続してみる,hizakozo,フェーズ0(開発準備)-1,見積工数: 1h,open,ma3-ndbox,2020-03-12 06:55:21,,,2020-03-17 19:03:19,2020-04-05 07:00:00,,1.0,tasks,直近のマイルストーン
53,前提確認,ma3-ndbox,,,closed,ma3-ndbox,2020-03-12 16:32:29,2020-03-15 05:12:37,ma3-ndbox,2020-03-15 05:12:37,,,,meeting,完了
54,必要機能の洗い出し,ma3-ndbox,,,closed,ma3-ndbox,2020-03-12 16:33:19,2020-03-17 01:45:13,ma3-ndbox,2020-03-17 01:45:13,,,,meeting,完了
55,ui-flowの確認,ma3-ndbox,,,closed,ma3-ndbox,2020-03-12 16:33:42,2020-03-17 01:45:44,ma3-ndbox,2020-03-17 01:45:44,,,,meeting,完了
56,infra構成の確認,ma3-ndbox,,,closed,ma3-ndbox,2020-03-12 16:34:10,2020-03-14 22:32:09,ma3-ndbox,2020-03-14 22:32:09,,,,meeting,完了
57,大まかなスケジュール感,ma3-ndbox,,,closed,ma3-ndbox,2020-03-12 16:35:24,2020-03-17 01:45:28,ma3-ndbox,2020-03-17 01:45:28,,,,meeting,完了
58,ちょっと覚悟の相談,ma3-ndbox,,,closed,ma3-ndbox,2020-03-12 17:30:19,2020-03-14 00:29:35,ma3-ndbox,2020-03-14 00:29:35,,,,meeting,完了
59,要件定義周りの資料やりとりメモ,ma3-ndbox,,,closed,ma3-ndbox,2020-03-12 17:54:24,2020-03-14 00:49:32,ma3-ndbox,2020-03-14 00:49:32,,,,meeting,完了
60,ワイヤーフレームとUIフローのサンプルを作成,,,,closed,ma3-ndbox,2020-03-12 19:19:22,2020-03-12 19:21:16,ma3-ndbox,2020-03-12 19:21:16,,,,,
61,開発ルールの相談,ma3-ndbox,,,closed,ma3-ndbox,2020-03-12 19:23:23,2020-03-14 01:08:46,ma3-ndbox,2020-03-14 01:08:46,,,,meeting,完了
62,localstackのベースとなるdocker-composeを作成,rothr4,,,closed,rothr4,2020-03-13 15:32:23,2020-03-13 19:34:49,rothr4,2020-03-13 19:37:48,,,,,
63,もらった金額の分割の仕方,ma3-ndbox,,,closed,ma3-ndbox,2020-03-13 19:22:12,2020-03-14 01:13:50,ma3-ndbox,2020-03-14 01:13:50,,,,meeting,完了
64,issueの使い方について,rothr4,,,closed,ma3-ndbox,2020-03-13 21:46:58,2020-03-14 01:04:07,ma3-ndbox,2020-03-14 01:04:07,,,,meeting,完了
65,"各環境(dev, pro)とブランチの戦略を考える",rothr4,,,open,ma3-ndbox,2020-03-14 01:09:37,,,2020-03-14 01:09:46,,,,meeting,保留
66,インフラ構成の下書き,,,,closed,ma3-ndbox,2020-03-14 16:12:30,2020-03-14 16:12:45,ma3-ndbox,2020-03-14 16:12:45,,,,,
67,APIのベース作成,,,,closed,ma3-ndbox,2020-03-14 18:38:27,2020-03-14 18:42:03,ma3-ndbox,2020-03-14 18:42:03,,,,,
68,LocalのLambdaにAPIを乗せて動作確認をする,rothr4;ma3-ndbox,,見積工数: 2h,open,ma3-ndbox,2020-03-14 18:44:49,,,2020-03-17 19:14:24,,,2.0,tasks,直近のマイルストーン
69,APIのコントローラークラスを作成,ma3-ndbox,,見積工数: 1.5h,open,ma3-ndbox,2020-03-14 18:48:17,,,2020-03-17 19:48:07,,,1.5,tasks,タスクプール
70,frontのlint設定,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.5h(30min);見積工数: 1h,closed,ma3-ndbox,2020-03-14 18:49:38,2020-03-14 20:43:18,ma3-ndbox,2020-03-17 19:32:16,2020-04-05 07:00:00,0.5,1.0,tasks,完了
71,apiのlint設定,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 1h,closed,ma3-ndbox,2020-03-14 18:49:43,2020-03-16 11:40:32,ma3-ndbox,2020-03-17 19:08:32,2020-04-05 07:00:00,1.0,,tasks,完了
72,cognitoの使えそうなlocal版が存在するか調査,rothr4,,見積工数: 3h,open,ma3-ndbox,2020-03-14 18:53:59,,,2020-03-17 19:24:42,,,3.0,tasks,次のマイルストーン
73,Bootstrapを導入する,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.5h(30min),closed,ma3-ndbox,2020-03-14 20:40:11,2020-03-14 22:03:24,ma3-ndbox,2020-03-17 19:09:08,2020-04-05 07:00:00,0.5,,tasks,完了
74,Frontのベースを作成,,,,closed,ma3-ndbox,2020-03-14 20:40:51,2020-03-14 20:42:10,ma3-ndbox,2020-03-14 20:42:10,,,,,
75,Frontで使用するAPIClientの実装,ma3-ndbox,,見積工数: 3h,open,ma3-ndbox,2020-03-14 20:49:20,,,2020-03-17 20:02:48,,,3.0,tasks,タスクプール
76,FrontのVuex周りの整備,ma3-ndbox,,見積工数: 4h,open,ma3-ndbox,2020-03-14 20:49:39,,,2020-03-17 19:47:16,,,4.0,tasks,タスクプール
77,API側をなんちゃってクリーンアーキテクチャ風に整備,ma3-ndbox,,見積工数: 8h,open,ma3-ndbox,2020-03-14 20:50:28,,,2020-03-17 20:03:07,,,8.0,tasks,タスクプール
78,Bootstrapを使用できるようにする,,,,closed,ma3-ndbox,2020-03-14 21:17:24,2020-03-14 22:02:55,ma3-ndbox,2020-03-14 22:02:55,,,,,
79,このカンバンをスプレッドシートorエクセルorCSV出力できたら、幸せになれるかもしれない、と思った,,,実工数: 0h,closed,ma3-ndbox,2020-03-14 22:06:31,2020-03-17 19:57:04,ma3-ndbox,2020-03-17 19:57:51,,0.0,,tasks,オミット
80,Frontで1ページ作ってみながらのアーキテクチャ整備,ma3-ndbox,,見積工数: 8h,open,ma3-ndbox,2020-03-14 22:08:41,,,2020-03-17 20:00:09,,,8.0,tasks,タスクプール
81,Frontから何かしらAPIをつなげる,ma3-ndbox,,見積工数: 1.5h,open,ma3-ndbox,2020-03-14 22:09:35,,,2020-03-17 19:50:54,,,1.5,tasks,タスクプール
82,"API,Frontのデプロイの仕組み",ma3-ndbox,,見積工数: 3h,open,ma3-ndbox,2020-03-14 22:24:07,,,2020-03-17 19:47:05,,,3.0,tasks,タスクプール
83,パフォーマンス計測ツールの導入,,,,closed,ma3-ndbox,2020-03-14 23:09:00,2020-03-14 23:12:06,ma3-ndbox,2020-03-14 23:12:06,,,,,
84,パフォーマンス得点が1点な件を調べる,ma3-ndbox,フェーズ0(開発準備)-1,見積工数: 1.5h,open,ma3-ndbox,2020-03-14 23:13:12,,,2020-03-17 19:14:05,2020-04-05 07:00:00,,1.5,tasks,直近のマイルストーン
85,[WIP] Make yaml for cloud-formation.,,,,open,rothr4,2020-03-14 23:20:50,,,2020-03-14 23:20:50,,,,,
86,api側にlint設定を入れます,,,,closed,ma3-ndbox,2020-03-16 11:38:36,2020-03-16 11:40:00,ma3-ndbox,2020-03-16 11:40:00,,,,,
87,"api, frontのbuildとlintチェックをCIに組み込む",ma3-ndbox,フェーズ0(開発準備)-1,実工数: 1.5h,closed,ma3-ndbox,2020-03-16 11:42:43,2020-03-16 13:09:11,ma3-ndbox,2020-03-17 19:07:08,2020-04-05 07:00:00,1.5,,tasks,完了
88,ciにlintを組み込んでみた,,,,closed,ma3-ndbox,2020-03-16 11:51:29,2020-03-16 12:57:37,ma3-ndbox,2020-03-16 12:57:37,,,,,
89,課金購入の仕組み調査,ma3-ndbox,,見積工数: 5h,open,ma3-ndbox,2020-03-16 14:13:35,,,2020-03-17 19:49:38,,,5.0,tasks,タスクプール
90,第一弾uiフローを顧客と完成させる,,フェーズ0(開発準備)-1,見積工数: 4h,open,ma3-ndbox,2020-03-17 01:41:01,,,2020-03-17 19:13:44,2020-04-05 07:00:00,,4.0,tasks,直近のマイルストーン
91,第一弾ワイヤーフレームを顧客と完成させる,,フェーズ0(開発準備)-2,見積工数: 4h,open,ma3-ndbox,2020-03-17 01:41:06,,,2020-03-17 19:23:44,2020-04-26 07:00:00,,4.0,tasks,次のマイルストーン
92,営業用のPCセットアップ,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.25h(15min),closed,ma3-ndbox,2020-03-17 01:46:42,2020-03-17 03:47:40,ma3-ndbox,2020-03-17 19:05:19,2020-04-05 07:00:00,0.25,,tasks,完了
93,この看板のタスク状況をいい感じにcsv化する仕組み,rothr4,フェーズ0(開発準備)-1,見積工数: 4h,open,ma3-ndbox,2020-03-17 16:22:55,,,2020-03-17 19:13:04,2020-04-05 07:00:00,,4.0,tasks,進行中
94,csv化したタスク状況をgithub actionsに食わせて、まとめ用リポジトリにでも吐くようにする,rothr4,フェーズ0(開発準備)-1,見積工数: 1.5h,open,ma3-ndbox,2020-03-17 16:23:53,,,2020-03-17 19:13:15,2020-04-05 07:00:00,,1.5,tasks,直近のマイルストーン
95,マイルストーン&ラベルの作成と各チケットへの反映,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.5h(30min),closed,ma3-ndbox,2020-03-17 17:57:19,2020-03-17 19:12:20,ma3-ndbox,2020-03-17 19:12:20,2020-04-05 07:00:00,0.5,,tasks,完了
96,ラベルの運用方法について共有,ma3-ndbox,,,open,ma3-ndbox,2020-03-17 18:59:18,,,2020-03-17 18:59:22,,,,meeting,議題
97,ちょっと意地悪なラベル設定(テスト用です),,,実工数: 0h,closed,ma3-ndbox,2020-03-17 18:59:58,2020-03-17 19:41:38,ma3-ndbox,2020-03-17 19:41:38,,0.0,,tasks,オミット
98,便利コマンド用のベースクラス作成(Go),ma3-ndbox,,見積工数: 3h,open,ma3-ndbox,2020-03-17 19:17:18,,,2020-03-17 19:17:55,,,3.0,tasks,進行中
99,cloudfrontのYamlを役割ごとに分割する仕組み,rothr4,,見積工数: 2h,open,ma3-ndbox,2020-03-17 19:20:49,,,2020-03-17 19:46:37,,,2.0,tasks,保留
100,看板タスク集計CSVのタイムスタンプを変更,rothr4,フェーズ0(開発準備)-1,見積工数: 0.5h(30min),open,rothr4,2020-03-17 20:08:48,,,2020-03-17 20:09:10,2020-04-05 07:00:00,,0.5,tasks,直近のマイルストーン
